,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
2218,"Ready For Occupancy 2 Bedroom Townhouse at Parksville in Imus, Cavite",1.0,2.0,,40.0,44.0,Parksville,1,,,2671900
2219,"Very Affordable, RFO House For Sale at Siena Hills, Antipolo del Sur, Lipa",2.0,3.0,1.0,67.0,150.0,Siena Hills,Blk. 19 Lot 9,,,5036925
2220,"For Sale Prime 3 Bedrooms House and Lot in Havila, Antipolo City",3.0,4.0,2.0,92.0,112.0,Mira Valley,Blk 8 Lot 3,,,10533400
2221,For Sale: Adelle -4 Bedroom townhouse in Lancaster New City Cavite,2.0,4.0,1.0,70.0,79.0,,,,,4800000
2222,"For Sale 3 Bedrooms with 3 toilet and bath with clean title, Silang",3.0,3.0,,200.0,150.0,Josephine Village,,,,9500000
2223,Callista - Single Attached in Sabella Village for sale,2.0,4.0,2.0,100.0,81.0,Sabella Village,,,6.0,4273500
2224,"Ready for Occupancy Single Attached House for sale in Noveleta, Cavite",3.0,3.0,,102.0,80.0,Summer pine,B 7 L 3,,,6752000
2225,For Sale 4 Bedroom Modern Design Duplex in Las Piñas City! Ready for occupancy!,3.0,3.0,1.0,129.0,87.5,,,,,8000000
2226,"For sale 4 Bedroom Townhouse by Lancaster New City, Cavite near Manila",2.0,4.0,,70.0,60.0,Lancaster New City,,,,2893200
2227,House and Lot in Lipa Batangas for sale,2.0,3.0,,63.0,105.0,Solaya Residences by Taft Properties,Blk 7 lot 9,,,3300000
2228,,,,,,,,,,,
2229,"For Sale 3 Bedroom Modern Townhouse Unit in Santa Maria, Bulacan",2.0,3.0,,120.0,60.0,Cityland,Unit A,,,3400000
2230,"2-Storey Townhouse for sale in Real de Cacarong, Pandi, Bulacan",1.0,2.0,,46.6,40.0,,,,,1440120
2231,"Greenwoods Fully Renovated Townhouse for Sale near clubhouse, Pasig City",3.0,4.0,2.0,160.0,85.0,Greenwoods Executive Village,,,,9800000
2232,"4 Bedroom house and lot located at Cagbang, Oton for sale",3.0,4.0,,90.0,100.0,Emerald Estates,,,,5500000
2233,Xavier Estates House and Lot for Sale!,3.0,4.0,1.0,150.0,150.0,Xavier Estates,Phase 4,2009.0,,10000000
2234,Murang Bahay At Lupa Loc. In Pandi Bulacan Alto Verde Heights,1.0,1.0,,46.6,40.0,ALTO VERDE HIEGHTS,Block-1 Lot-2,,,1089519
2235,For Sale RFO 2 Storey Brand new Townhouse In North Olympus At 5.2m,2.0,3.0,1.0,85.0,60.0,North Olympus Subdivision,,2022.0,3.0,5200000
2236,"For Sale 4BR Single Attached House and Lot in The Villages at Lipa, Batangas",3.0,4.0,,119.0,150.0,The Villages at Lipa,Block 1 lot 1,,,6300000
2237,"Alice - 2 storey townhouse w/ 3 bedrooms, 1 toilet & bath and 1 carport",1.0,3.0,1.0,40.0,40.0,Redfern 4,,,3.0,1935600
2238,"Residential House and Lot for Sale | Averdeen Estates Nuvali, Calamba",2.0,3.0,,95.0,198.0,Avida Averdeen Estates Nuvali,B8 L5,,,13662000
2239,2 Bedroom Townhouse walking Distance fromt from the Highway near Mactan Newtown,2.0,2.0,,73.0,44.0,BF Fortuneville,Blk. 5 Lot 22,,,2770000
2240,Beautiful Semi-furnished House and Lot For Sale ,2.0,4.0,,130.0,168.0,Pueblo El Grande,Lot 24,,,12000000
2241,"Corner House and Lot For Sale in Pulu Amsic Subdivision, Angeles, Pampanga",5.0,5.0,2.0,330.0,305.0,Pulu Amsic Subdivision,1,,,35000000
2242,house and lot in 4 bedroom in AMOA for sale,2.0,4.0,,82.0,156.0,,,,,6400000
2243,"For Sale: 4-Bedroom Wharton House at Washington Place in Dasmariñas, Cavite",2.0,4.0,,83.0,140.0,Washington Place,Wharton Single Attached,,,5868645
2244,For Sale House and Lot at Hensonville Plaza Subdivision in Malabanias Angeles ,6.0,5.0,,630.0,800.0,Hensonville Plaza Subdivision,,,,32000000
2245,For Sale Townhouse Corner Unit Located at Azumi 2 Residences,2.0,3.0,1.0,50.0,60.0,Azumi Residences II,,2018.0,3.0,2292000
2246,Linnea 2 Storey Single Attached in The Woodlands at Trece Martires,2.0,3.0,,77.25,100.0,The woodlands,,,,3311000
2247,"Corner House and Lot For Sale in Friendship Plaza Subdivision, Angeles City",8.0,8.0,,587.0,,Friendship Plaza Subdivision,"Block 7, Lot 1",,,30000000
2248,"Amiya Rosa 2 Single Detached House for Sale in Lipa, Batangas",2.0,3.0,,78.2,80.0,Amiya Rosa 2,Blk 17 Lot 7,,,5325430
2249,Linnea 2 Storey Single Attached in The Woodlands at Trece Martires,2.0,3.0,,77.25,100.0,The woodlands,,,,3311000
2250,"For Sale: 4-Bedroom Sophia House at Governor's Hills in General Trias, Cavite",2.0,4.0,,115.08,132.0,Governor's Hills,Sophia Single Detached,,,6571420
2251,Jasmine 2 Storey Single Attached The Woodlands at Trece Martires Brgy Hugo Perez,1.0,2.0,,44.5,58.5,The woodlands,,,,1990000
2252,3 Bedroom Townhouses For Sale Near SM/LRT Masinag Antipolo,2.0,3.0,,87.0,51.0,Masinag Townhomes 2,Block 2,,,5271750
2253,3 bedroom Townhouses Ready for Occupancy in Upper Antipolo ,3.0,3.0,,89.0,50.0,THE NEST HORIZON,block 1,,,4550000
2254,RFO 2-Bedroom Townhouse in Las Piñas City for Sale,2.0,2.0,1.0,47.0,50.0,,,,,3852000
2255,"3 Bedroom, 2 Storey house and lot for sale at Avida Village Iloilo",2.0,3.0,,65.0,137.0,Avida Village Iloilo,,,,5200000
2256,Semi Furnished House and Lot for Sale Portofino Heights in Almanza Dos Las Piñas,4.0,4.0,,500.0,472.0,Portofino Heights,Phase 1,,,60000000
2257,,,,,,,,,,,
2258,"For Sale: 3-Bedroom Wellington House at Washington Place in Dasmariñas, Cavite",2.0,3.0,,78.0,160.0,Washington Place,Wellington Single Detached,,,6458975
2259,"House and Lot for Sale in Sunset Estate at Cutcut, Angeles City, Pampanga",5.0,4.0,,800.0,1231.0,Sunset Estate,,,,55000000
2260,RFO Townhouse for Sale in Las Piñas - 2 Bedrooms | 1 Car Garage,2.0,2.0,1.0,47.0,50.0,,,,,3852000
2261,"House and Lot for sale in Solaya Residences Lipa, Batangas",2.0,3.0,,63.0,105.0,Solaya Lipa Residences,B 1 lot 7,,,3300000
2262,For Sale 3 Bedroom House and Lot at La Verne Residences in Bacoor,2.0,3.0,,115.0,102.0,La Verne Residences,Block 5 Lot 5,,,8070786
2263,"2-Bedroom Antonella Single Detached House for Sale in Trails of Maia Alta, Rizal",1.0,2.0,,48.0,88.0,Trails of Maia Alta Subdivision,,,,7112460
2264,For sale Aster Single Attached in Angono,1.0,2.0,,44.0,75.0,,,,,2700000
2265,"3 Bedroom House and Lot at La Verne Residences, Bacoor For Sale",2.0,3.0,,87.0,80.0,La Verne Residences,Block 2 Lot 9,,,7536710
2266,3 Bedroom House and Lot at La Verne Residences For Sale in Bacoor,2.0,3.0,,115.0,102.0,La Verne Residences,Block 5 Lot 2,,,8070786
2267,3 Bedroom Single House In Verona Subdivision Located Silang Cavite For Sale,2.0,3.0,,79.87,126.0,Verona Subdivision,,,,6000000
2268,"Amaia Scapes Sta Maria Bulacan, San Fernando and Pampanga",1.0,3.0,,80.0,100.0,Amaia Scapes,,,,4800000
2269,"3 Bedroom House and Lot For Sale Located in Varsity Hills, Quezon City",3.0,3.0,,365.0,421.0,Varsity Hills,6,,,35000000
2270,Fully furnished 4 bedrooms house and lot for sale in Silang near Tagaytay ,2.0,4.0,,165.0,207.0,Suntrust Verona,,,,12000000
2271,,,,,,,,,,,
2272,For Sale RFO House and Lot in Cavite near Manila,3.0,4.0,,100.0,120.0,,,,,6635400
2273,"3 Bedroom House & Lot in La Verne Residences, Bacoor, Cavite For Sale",2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 15,,,7638042
2274,House and Lot for Sale in Quezon City,3.0,5.0,3.0,238.0,700.4,,,,,60000000
2275,"Thrive with Alli - House and lot for sale in Santa Maria, Bulacan",1.0,2.0,,40.0,88.0,Camella Sta Maria,Alli,,,3604000
2276,"Single Attached House and Lot for sale in Santa Maria, Bulacan near NLEX",3.0,3.0,2.0,80.0,104.0,Amaia Scapes Bulacan,Single Home 80,2026.0,3.0,6629652
2277,"Aliyah Townhouse with 3 bedrooms in  Panungyanan, General Trias Cavite",1.0,3.0,,54.0,,Sabella Village,,,,2044125
2278,Jasmine Townhouse in The Woodlands at Trece Martires,1.0,2.0,,44.5,90.0,The Woodlands,,,,2196000
2279,,,,,,,,,,,
2280,"Ready for Occupancy House and Lot For Sale in Camella Trece, Trece Martires",1.0,2.0,,40.0,54.0,Camella Trece,Blk 11 Lot  19,,,3157000
2281,"For Sale - 2 Bedroom, 1 Car Garage Corner Townhouse Unit in Las Piñas",2.0,2.0,1.0,94.81,91.0,,,,,5675000
2282,Ready to Occupy Las Piñas 2-Bedroom Corner Lot Townhouse RFO for Sale,2.0,2.0,1.0,44.0,95.0,,,,,5100000
2283,,,,,,,,,,,
2284,For Sale Pre Selling House and Lot in Bulacan near NLEX,2.0,3.0,1.0,60.0,80.0,Amaia Bulacan,Single Home 60,2026.0,3.0,4640756
2285,"House and lot for sale in Amaresa, Marilao, Bulacan | Alexandra",3.0,5.0,,174.0,130.0,Amaresa Marilao,Alexandra,,,9725100
2286,"Ready for Occupancy House For Sale in Trece Martires, Cavite",1.0,2.0,,46.0,,Camella Trece,,,,3679000
2287,"Ready For Occupancy Townhouse Unit in Tanza, Cavite For Sale",1.0,2.0,,40.0,36.0,Camella Tanza,Blk 20 Lot 42,,,2933000
2288,Elegant and Modern Duplex House with 4 Bedrooms in Greenland San Mateo,3.0,4.0,2.0,155.0,104.0,Greenland Newtown,Unit A,,,9798000
2289,For Sale 3 Bedroom Townhouses in San Jose Rodriguez near Quezon City,2.0,3.0,2.0,72.0,50.0,Montalban Townhomes,Block 3,,,3567750
2290,"For Sale: 4-Bedroom Luciana House and Lot at Suntrust Verona in Silang, Cavite",3.0,4.0,,174.66,176.0,Suntrust Verona,Luciana Single Detached,,,9959130
2291,In-House Financing Ready 2BR Townhouse for sale in Las Pinas City in Almanza Dos,2.0,2.0,1.0,54.0,51.0,,,,,4899000
2292,Phinma Maayo Sanjose Subdivision Townhouse for Sale Located at Batangas,2.0,2.0,,48.26,50.0,"Phinma Maayo Subdivision, San Jose, Batangas",Blk 8 Lt 8,,,3000000
2293,"House and Lot with 3 Bedroom for Sale at La Verne Residences, Bacoor",2.0,3.0,,87.0,80.0,La Verne Residences,Block 2 Lot 11,,,7536710
2294,La Verne Residences 3 Bedroom House and Lot in Bacoor for sale,2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 15,,,7738042
2295,"For Sale 2 Bedrooms 2 Storey Townhouse RFO in General Trias, Cavite",1.0,2.0,,40.0,36.0,CamellaTanza,Blk 18a Lot 5,,,3077000
2296,Single detached House and lot For Sale at Avida Village Iloilo,2.0,3.0,1.0,65.0,137.0,Avida Village Iloilo,,,3.0,5200000
2297,"House and Lot For Sale Located in Muzon, San Jose, Del Monte, Bulacan",2.0,3.0,,147.0,139.0,Amaresa 2,Block 7 Lot 4,,,7901850
2298,"2 Storey Townhouse For Sale in Silay City, Negros Occidental",1.0,2.0,,40.0,50.0,Alida Place,B4 L7,,,1650000
2299,"For Sale House and Lot with 3 Bedroom at La Verne Residences, Bacoor",2.0,3.0,,115.0,102.0,La Verne Residences,Block 5 Lot 7,,,8070786
2300,"House for sale at Amaresa, Loma Degato, Marilao, Bulacan | Kyla Prime ",2.0,3.0,,94.0,89.0,Amaresa Marilao,Kyle Prime,,,4777920
2301,For Sale Alida Place 2 Storey Townhouse Inner Unit in Silay City ,1.0,1.0,,40.0,50.0,Alida Place,Ruby Townhouse B5 L4-6,,,1600000
2302,"For Sale 3 Bedroom House and Lot at La Verne Residences, Bacoor",2.0,3.0,,115.0,102.0,La Verne Residences,Block 5 Lot 3,,,8070786
2303,3 Bedroom House and Lot at La Verne Residences,2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 11,,,7738042
2304,"The Villages at Lipa | 4 Bedrooms | For Sale in Lipa City, Batangas",2.0,4.0,,80.0,100.0,,,,,4509821
2305,2-Storey Single-Attached House with Attic for sale in San Jose del Monte Bulacan,3.0,5.0,,174.0,130.0,Amaresa 2,,,,9725000
2306,"Ready for Occupancy Townhouse for Sale at Affordable Price, Imus City",1.0,2.0,,40.0,36.0,Monte Royale Residence,,,,2412309
2307,Las Piñas Townhouse 3 Bedrooms Ready for Occupancy | For Sale,2.0,3.0,1.0,92.0,86.0,,,,,5830000
2308,"3 bedroom 2 toilet and bath in Pavia, Iloilo for sale",2.0,3.0,,65.0,130.0,Avida Village Iloilo,Block 11 Lot 25,2021.0,,5200000
2309,"Ready For Occupancy 3 bedroom bungalow house for sale in Lipa, Batangas",2.0,3.0,1.0,79.0,110.0,,Block 8 Lot 2,2022.0,3.0,3500000
2310,"For Sale 2 Storey Single Attached House and Lot in Santa Maria, Bulacan nr NLEX",3.0,3.0,2.0,80.0,104.0,Amaia Scapes Bulacan,B116 L20,2026.0,3.0,6629652
2311,"For Sale 3 Bedroom House and Lot in Santa Maria, Bulacan near NLEX",3.0,3.0,2.0,80.0,104.0,Amaia Bulacan,B116,2026.0,3.0,6629651
2312,"For Sale 3 Bedroom House and Lot by Lancaster New City Cavite, near MOA",3.0,3.0,,90.0,120.0,Lancaster New City,,,,6360000
2313,"Semi-Furnished 3-Bedroom House for Sale at Antel Grand Village in GenTri, Cavite",2.0,3.0,,133.0,280.0,Antel Grand Village,,,,8500000
2314,House And Lot Along National Hiway Near Nasugbu Beach And Tagaytay,2.0,2.0,,54.0,91.0,,,,,1900000
2315,,,,,,,,,,,
2316,Townhouse with Garage Bare type,1.0,2.0,1.0,55.0,62.5,Grandview Heights,,,2.0,1500000
2317,For sale 2 Bedroom House and Lot in Camella Dasmariñas,1.0,2.0,,46.0,54.0,,,,,1600000
2318,Foreclosed 5 Bedroom House and Lot in Dasmariñas,5.0,5.0,1.0,165.0,206.0,,,,,4280000
2319,"For Sale House and Lot with  3 Bedroom at La Verne Residences, Bacoor",2.0,3.0,,87.0,80.0,La Verne Residences,Block 2 Lot 10,,,7536710
2320,"For sale 3 Bedroom House & Lot at La Verne Residences, Bacoor, Cavite",2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 14,,,7638042
2321,,,,,,,,,,,
2322,Commonwealth Terracess- Townhouse for sale in Quezon City,6.0,5.0,,208.0,53.0,,,,,11573578
2323,"For Sale: 3 Bedroom Washingotn House at Washington Place Dasma, Cavite",3.0,3.0,,103.0,168.0,,,,,9908462
2324,"For Sale: 2 Bedroom Townhouse at Wood Town Residences Dasmariñas City, Cavite",1.0,2.0,1.0,44.0,46.0,Wood Town Residences,Block 10,,,2151000
2325,For sale 4 Bedroom townhouse in Molino Bacoor Cavite,3.0,4.0,1.0,120.0,72.0,Amaris Homes Molino,,,4.0,3039000
2326,"The Villages at Lipa | 2 Bedroom Townhouse for Sale in Lipa, Batangas",1.0,2.0,,53.0,53.0,,,,,3236607
2327,Puerto Real 5 Bedroom House & Lot For Sale ,4.0,5.0,4.0,350.0,408.0,Puerto Real De Iloilo,,,5.0,15000000
2328,"For Sale Ready For Occupancy 2 Bedroom House and Lot in Tanza, Cavite",1.0,2.0,,40.0,36.0,Camella Tanza,18a/5,,,3077000
2329,HOUSE FOR SALE Ayala Westgrove Heights Five Bedrooms Two Storey,8.0,5.0,3.0,700.0,566.0,Ayala Westgrve Heights,,,,55000000
2330,For sale 2 Bedroom Townhouse in Camella Dasmariñas,1.0,2.0,,40.0,36.0,,,,,1300000
2331,"House & Lot 3 Bedroom for sale La Verne Residences, Bacoor, Cavite",2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 13,,,7638042
2332,"3 Bedroom House & Lot at for sale La Verne Residences, Bacoor, Cavite",2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 11,,,7638042
2333,Bacoor: 3 Bedroom House and Lot at La Verne Residences for sale,2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 14,,,7738042
2334,"For Sale Thea 2-storey townhouse by Lancaster near Manila, General Trias",2.0,3.0,,60.0,50.0,Lancaster New City,,,,2667000
2335,Single Family House for Sale Located at North Orchard Residences Bulacan,2.0,3.0,2.0,112.36,80.0,North Orchard Residences,Single Attached,,3.0,5182936
2336,"The Villages at Lipa | 2-Storey House & Lot For Sale in Lipa, Batangas",2.0,3.0,,65.0,100.0,,,,,3915179
2337,"3 Bedrooms Ready For Occupancy House and Lot For Sale in Trece Martires, Cavite ",2.0,3.0,1.0,65.0,88.0,Camella Trece,,,,5403000
2338,"2 Bedrooms Townhouse For Sale at Camella Vita General Trias, Cavite",1.0,2.0,,60.0,40.0,Camella Vita,Blk 11 Lot 23,,,3417000
2339,"For Sale 2 Storey Townhouse Ready For Occupancy in Tanza, Cavite",1.0,2.0,,36.0,36.0,Camella Tanza,21/9,,,2766000
2340,Pre-Owned Never Been Used Townhouse Near V. Luna Hospital QC,2.0,3.0,,116.0,29.0,,,,,11000000
2341,"For Sale: 3-Bedroom Wallace House at Washington Place in Dasmariñas, Cavite",2.0,3.0,,73.0,140.0,Washington Place,Wallace Single Detached,,,6492435
2342,Flood-Free Prime Lot Few Steps Away From Kalayaan Avenue Makati City Near BGC,2.0,4.0,,212.0,437.0,,,,,52440000
2343,For sale 6 Bedroom Vacation House Tagaytay,6.0,6.0,,331.6,300.0,,,,,14858200
2344,Victoria Park Residences RFO 4-Bedroom End Unit for Sale in Las Piñas ,2.0,3.0,2.0,131.0,105.0,Victoria Park Residences,,,,8137000
2345,"3 Bedroom 2 Toilet & Bath House For Sale in La Verne Residences, Bacoor",2.0,3.0,,94.0,80.0,La Verne Residences,Block 4 Lot 6,,,7524442
2346,"For Sale 4 Bedroom House And Lot By Lancaster At Gen Trias Cavite, Near Moa",3.0,4.0,,100.0,110.0,Lancaster New City,,,,6835000
2347,"For Sale 3 Bedroom House and Lot by Lancaster near CAVITEX, General Trias",2.0,3.0,,80.0,109.0,Lancaster New City,,,,5728000
2348,,,,,,,,,,,
2349,tagaytay house & lot near twin lakes and splendido,5.0,6.0,,450.0,1183.0,,,,,23000000
2350,"Foreclosed House and Lot for Sale in Imus, Cavite",2.0,2.0,,96.0,80.0,,,,,3300000
2351,Commonwealth Terracess,6.0,5.0,,213.0,54.0,,,,,11860928
2352,Flood-Free Prime Residential Lot Few Steps Away From Kalayaan Avenue Makati City,1.0,3.0,,100.0,226.0,,,,,27120000
2353,"3 Bedroom House and Lot at La Verne Residences For Sale, Bacoor",2.0,3.0,,94.0,80.0,La Verne Residences,Block 3 Lot 13,,,7738042
2354,"For Sale 3 Bedroom Townhouse Located In Lancaster New City Cavite, Near Moa",2.0,3.0,,50.0,50.0,Lancaster New City,,,,2400000
2355,"rush sale house & lot 4 Bedrooms in Loyola Heights, Quezon City",4.0,4.0,,400.0,882.0,,,,,85000000
2356,"For Sale: 4-Bedroom Jazmine House at Governor's Hills in General Trias, Cavite",3.0,4.0,,160.0,154.0,Governor's Hills,Jazmine Single Detached,,,7088260
2357,"For Sale: Amanda House with 4-Bedrooms at Governor's Hills in Gen Tri, Cavite",3.0,4.0,,167.4,154.0,Governor's Hills,Amanda Single Detached,,,8078516
2358,"For Sale: 3-Bedroom Mariella House and Lot at Suntrust Verona in Silang, Cavite",1.0,3.0,,93.91,88.0,Suntrust Verona,Mariella Single Detached,,,4711885
2359,townhouse in penthouse  jubilation enclave north 3 bedroom for sale,2.0,3.0,2.0,90.0,60.0,PENTHOUSE JUBILATION,,,3.0,5868000
2360,HOUSE and LOT FOR SALE in Forbes Park Makati,,5.0,,1059.33,873.0,,,,,1500000000
2361,"House & Lot for Sale in Camella Baia Mika by Mark Alpuerto in Santo Domingo, Bay",1.0,2.0,,46.0,66.0,Camella Baia,Block 6 Lot 6,,,4033000
2362,"RFO 4 Bedroom Townhouse Rent-To- Own In Imus , Cavite",2.0,4.0,1.0,86.0,99.0,Masaito Parc Royale,"10, 5,8, 13",,4.0,6143000
2363,"For sale House and Lot in Las Brisas Tanza, Cavite",2.0,2.0,,112.5,72.0,"Las Brisas Tiera Del Sol Brgy. Tanuan, Tanza, Cavite",,,,4336980
2364,Ready For Occupancy 3 bedroom duplex house and lot,2.0,3.0,2.0,64.0,96.0,,,,3.0,3161768
2365,For Sale House and Lot in Cavite near Manila Alexandra 120sqm,3.0,4.0,,100.0,120.0,,,,,6900000
2366,Modern Three Storey House in Greenwoods for Sale,6.0,5.0,,350.0,150.0,,,,,19800000
2367,House & Lot For Sale in Silang Cavite Near Tagaytay-Ready To Move In (Carmela),2.0,3.0,1.0,65.0,104.0,Camella Silang,Block 02 Lot 26,,,7405000
2368,Brand New Asian Modern House in Sandari Batulao,3.0,3.0,,200.0,150.0,,,,,15000000
2369,Brand New 2 Storey House in Greenwoods for Sale,5.0,5.0,,280.0,150.0,,,,,22000000
2370,Ready for Occupancy Richwood Homes Townhouse 2 bedroom ,1.0,2.0,1.0,50.0,40.0,Richwood Homes,Block 15/Lot 53,,2.0,1505712
2371,3-bedroom house and lot in exclusive beach community,2.0,3.0,,100.0,200.0,,,,,13000000
2372,"For sale Condo Title Townhouse at Brentville, Mamplasan open to foreign Buyers",3.0,3.0,2.0,222.72,,Prominence II,20,2007.0,3.0,18500000
2373,"Single Family House for sale in Santa Maria, Bulacan",1.0,2.0,,65.0,75.0,Primeville Residences,Lot  7A block 25,,,3305200
2374,"2 Bedroom House and Lot 90sqm for Sale at IDESIA LIPA, Japanese Inspired Homes",1.0,2.0,,4290.0,,"IDESIA, LIPA",,,,3400000
2375,Spacious 3 Bedroom House on a Corner Lot near Amenities San Pascual Batangas,3.0,3.0,1.0,185.0,143.0,Boomtown Highlands,B16 / L1,2019.0,4.0,6000000
2376,"READY FOR OCCUPANCY House and Lot for sale in Lipa city, Batangas",4.0,6.0,6.0,368.0,1400.0,,,,6.0,17000000
2377,"Modern Spanish 4 Bedroom House and Lot For Sale in Lipa City, Batangas",4.0,6.0,6.0,368.0,1400.0,,,,6.0,17000000
2378,"For Sale Amaia Gentri Single Home 60sqm floor aream, 3 bedroom unit ",2.0,3.0,,60.0,114.0,1,1,,,5414215
2379,Cavite rush house for sale open for brokers and agents,1.0,3.0,1.0,40.0,60.0,,"Block 20, Lot 1",,,1968000
2380,3 Bedroom RFO house and lot dasma cavite ,2.0,3.0,,53.0,88.0,Camella Dasma At The Islands,Block 16 Lot 19,,,5121000
2381,Ready for Occupancy 3 Bedroom House & Lot For Sale in Silang,2.0,3.0,1.0,65.0,88.0,Camella Silang,Block 3 Lot 23,,,6716000
2382,Affordable Residential Property at Teresa Rizal ,1.0,1.0,,27.0,80.0,New Fields,,,,2700000
2383,For Sale House and Lot located in the Grand ParkPlace Village Imus Cavite ,2.0,4.0,2.0,220.41,180.0,,Grand ParkPlace Village,,,10800000
2384,Prime Location 2 Bedrooms Townhouse For Sale in Gatchalian Subd. Las Piñas City,2.0,2.0,1.0,94.81,56.0,Gatchalian Subdivision,Block 4 lot 14,,,4990000
2385,For Sale: Big 3 Storey House very close to the beach and amenities in Talisay City Cebu,10.0,10.0,3.0,653.0,708.0,,,,,30000000
2386,"For Sale: Vista Rosa - Biñan, Laguna - 3 Bedroom Townhouse Inner Unit",2.0,3.0,1.0,94.0,53.0,Vista Rosa,Blk 3 Lot 1,2021.0,3.0,4752480
2387,"Ready for Occupancy 3 Bedroom House and Lot for sale in Lipa, Batangas",2.0,3.0,,90.0,120.0,Amiya Rosa Phase 1,,,,6929670
2388,For Sale: 2-Storey House and Lot with Parking at Cedarville Baliuag City Bulacan,2.0,3.0,,200.0,120.0,Cedarville,Block 2 lot 7,,,4000000
2389,"Portia Model Townhouse For Sale in Micara Estates Subdivision Tanza City, Cavite",2.0,3.0,,40.0,45.0,Micara Estates- Tanza,Portia,,,1721800
2390,"Town House and Lot at Dauis Panglao Bohol, 3 bedroom for sale",3.0,3.0,1.0,161.5,72.0,,,,,8410640
2391,"Phirst Park Homes Balanga, Bataan",1.0,2.0,,40.0,44.0,"Phirst Park Homes Balanga, Bataan",block 6 lot 12,,,1819811
2392,"Near MOA, Makati, & NAIA. 1 Month Move in, RFO 4BR Single Detached Unit for Sale",2.0,4.0,3.0,125.0,121.0,Bonita,Block 7 Lot 7,,,6161000
2393,"Near MOA, Makati, and NAIA. RFO Brand New 3 Bedrooms Single Home for Sale.",2.0,3.0,2.0,75.0,126.0,Bonita,Block 6 lot 6,,,4578000
2394,"For Sale : 4 Bedroom Magnum House in Canito-An, Cagayan de Oro, Misamis Oriental",3.0,4.0,,90.0,110.0,Intalio Estates,,,,6028155
2395,For sale 5 Bedrooms House with Family area and Balcony and Carport in Gapan,3.0,5.0,,142.0,132.0,Camella Gapan,,,,8448000
2396,"4 Bedrooms RFO House and Lot Fully Finished for sale in Bacoor, Cavite",2.0,4.0,,164.8,224.0,Princeton Heights,Block 5 Lot 8,,,16583910
2397,"For Sale: NRFO Calista End Townhouse at Phirst Park Homes in Baliuag, Bulacan",1.0,2.0,,40.0,75.0,Phirst Park Homes Baliuag,B023 L005 Phase 1,,,2646796
2398,Bellefort Estates House For Sale in Bacoor,3.0,5.0,,110.0,140.0,Bellefort Estates,,,,8648580
2399,For sale house and lot 4 bedrooms clean title,3.0,4.0,3.0,200.0,,Queensrow area A,Block 26 lot 20,,,6000000
2400,"4 Bedroom House With Carport For Sale In Tanza, Cavite",2.0,4.0,1.0,107.0,100.0,Anyana,,,,6890000
2401,"For Sale Triplex Modern Design Townhouse - 3BR, 3 CR, 1 Carport in Las Piñas",3.0,3.0,,112.0,80.0,Moonwalk Village,"12 Apollo, 1st Street",,,5990000
2402,"Eliana Model Townhouse For Sale in  Primeworld Enclave at San Rafael, Bulacan",1.0,2.0,1.0,46.0,41.0,Primeworld Enclave,Block 8,,,2010889
2403,"3 Bedroom House and Lot for Sale La Verne Residences Bacoor Cavite, Buenaventure",2.0,3.0,1.0,105.0,85.0,La Verne Residences,,,,7688000
2404,"3BR House and Lot for Sale in Springdale Angono, Rizal",2.0,3.0,2.0,,,Springdale - Agono,,,,4538120
2405,solana casa real miranda house model for sale,3.0,4.0,,187.0,182.0,Solana Casa Real,,,,6308820
2406,For Sale: Calista Mid Townhouse at Phirst Park Homes Magalang in Pampanga,1.0,2.0,,40.0,44.0,Phirst Park Homes Magalang,,,,1700000
2407,"522 sqm House and Lot for Sale in South Forbes, Silang Cavite",4.0,3.0,,264.41,522.0,Southforbes Villas - Cavite,,,,35473927
2408,House and Lot in Koronadal I Freya House Model,3.0,5.0,,142.0,121.0,Camella Prima Koronadal,Block 3 Lot 14,,,7158664
2409,"RFO townhouse for sale in Aina homes Bulakan,Bulacan",1.0,2.0,,44.0,48.0,Aina Homes,Phase 2,,,1600000
2410,"5 Bedrooms House and Lot For Sale in Sta. Cecilia Village, Las Piñas City",5.0,5.0,,250.0,187.5,Sta. Cecilia Village,Block 2 Lot 5,,,15000000
2411,4 Bedroom House in Villa Mercedes Tagaytay City Philippines,2.0,4.0,2.0,130.0,466.0,Mountain Ridge Tagaytay,Block 2 Lot 6 & 7,2019.0,4.0,11276800
2412,House For Sale Exclusive Listing of Modern Southern American Home Abilay Norte,4.0,5.0,,360.0,711.0,Savannah The Crest,"Blk 7, lot 29-30",,,29000000
2413,"For Sale: NRFO House and Lot with 2 Bedroom at Wellford Homes, Malolos",1.0,2.0,,71.5,80.0,Wellford Homes Malolos,Ph2 Blk 19 Lot 6,,,4168640
